age,hr
0,1
17,1.300486767
18,1.600973534
19,1.901460301
20,2.201947068
21,2.182566317
22,2.163185566
23,2.143804815
24,2.124424064
25,2.105043313
26,2.085662562
27,2.066281811
28,2.046901059
29,2.027520308
30,2.008139557
31,1.948731715
32,1.889323872
33,1.82991603
34,1.770508187
35,1.711100345
36,1.651692502
37,1.59228466
38,1.532876817
39,1.473468975
40,1.414061132
41,1.418207889
42,1.422354645
43,1.426501401
44,1.430648158
45,1.434794914
46,1.438941671
47,1.443088427
48,1.447235184
49,1.45138194
50,1.455528697
51,1.457049551
52,1.458570406
53,1.46009126
54,1.461612115
55,1.463132969
56,1.464653824
57,1.466174678
58,1.467695533
59,1.469216387
60,1.470737242
61,1.468495636
62,1.46625403
63,1.464012424
64,1.461770818
65,1.459529212
66,1.457287606
67,1.455046
68,1.452804394
69,1.450562788
70,1.448321183
71,1.425905123
72,1.403489064
73,1.381073005
74,1.358656946
75,1.336240887
76,1.313824828
77,1.291408769
78,1.26899271
79,1.24657665
80,1.224160591
81,1.201744532
82,1.179328473
83,1.156912414
84,1.134496355
85,1.112080296
86,1.089664237
87,1.067248177
88,1.044832118
89,1.022416059
90,1
